Parameter,Function,Test Case,cyclomatic_complexity
"(double y1, long x1, double y2, long x2, long x)","public class LinearInterpolation {
static final double linearInterpolation(double y1, long x1, double y2, long x2, long x) {
        return y1 + (y2 - y1) / (x2 - x1) * (x - x1);
    }
}","@Test
    public void testLinearInterpolation() {
        assertEquals(1, PositionTime.linearInterpolation(1, 1, 3, 3, 1), 1e-16);
        assertEquals(3, PositionTime.linearInterpolation(1, 1, 3, 3, 3), 1e-16);

        assertEquals(2, PositionTime.linearInterpolation(1, 1, 3, 3, 2), 1e-16);
        assertEquals(10, PositionTime.linearInterpolation(1, 1, 3, 3, 10), 1e-16);

        assertEquals(2.5, PositionTime.linearInterpolation(0, 0, 5, 10, 5), 1e-16);
        assertEquals(4.5, PositionTime.linearInterpolation(0, 0, 5, 10, 9), 1e-16);
    }",1
"(long x, long y)","public class CompareLongs {
static int compareLongs(long x, long y) {
    if (x < y) {
      return -1;
    } else if (x == y) {
      return 0;
    } else {
      return 1;
    }
  }
}","@Test
  public void compareLongs() {
    assertThat(TimeUtils.compareLongs(-1L, 1L)).isLessThan(0);
    assertThat(TimeUtils.compareLongs(10L, 10L)).isEqualTo(0);
    assertThat(TimeUtils.compareLongs(1L, 0L)).isGreaterThan(0);
  }",3
"(int num1, int num2)","public class Divide {
public double divide(int num1, int num2){
        return num1/num2;
    }
}","@Test
    public void divide() throws Exception {
        double num = junitUtils.divide(10,2);
//        double num = junitUtils.divide(10,0);
        System.out.println(""结果：""+num);
    }",1
(int sizeInBytes),"public class Base64SizeInBytes {
static int base64SizeInBytes(int sizeInBytes) {
    int result = sizeInBytes * 4 / 3;
    int remainder = sizeInBytes * 4 % 3;
    return remainder == 0 ? result : result + (4 - remainder);
  }
}","@Test
  public void base64SizeInBytes() {
    Endpoint web = Endpoint.newBuilder().serviceName(""web"").ip(""127.0.0.1"").build();

    Span span1 =
        Span.newBuilder()
            .traceId(""d2f9288a2904503d"")
            .id(""d2f9288a2904503d"")
            .name(""get"")
            .timestamp(TODAY * 1000)
            .duration(1000L)
            .kind(Span.Kind.SERVER)
            .localEndpoint(web)
            .build();

    Span span2 =
        span1
            .toBuilder()
            .kind(Span.Kind.CLIENT)
            .traceId(""d2f9288a2904503d"")
            .parentId(""d2f9288a2904503d"")
            .id(""0f28590523a46541"")
            .build();

    byte[] thrift1 = SpanBytesEncoder.THRIFT.encode(span1);
    assertThat(InternalScribeCodec.base64(thrift1))
        .hasSize(InternalScribeCodec.base64SizeInBytes(thrift1.length));

    byte[] thrift2 = SpanBytesEncoder.THRIFT.encode(span2);
    assertThat(InternalScribeCodec.base64(thrift2))
        .hasSize(InternalScribeCodec.base64SizeInBytes(thrift2.length));
  }",1
"(int v,
                                int w)","public class MakeLong {
public static long makeLong(int v,
                                int w) {
        return (((long) v) << 32) | (w & 0xffffffffL);
    }
}","@Test
    public void testMakeLongPrecondition1() {
        for (int i = 0; i <= 10; i++) {
            try {
                NumberFactory.makeLong(new byte[i]);
                if (i != LONG_SIZE) {
                    Assert.fail(""Exception expected"");
                }
            } catch (IllegalArgumentException e) {
                // Expected.
            }
        }
    }",1
"(int m, int k)","public class GetBase64Digit {
private static int getBase64Digit(int m, int k) {
        return (m >>> (30 - 6 * k)) & 63;
    }
}","@Test
    public void testOffsetSamples() {
        // This is filled with probabilities to hit all edge cases in the fill procedure.
        // The probabilities must have a digit from each of the 5 possible.
        final int[] prob = new int[6];
        prob[0] = 1;
        prob[1] = 1 + 1 << 6;
        prob[2] = 1 + 1 << 12;
        prob[3] = 1 + 1 << 18;
        prob[4] = 1 + 1 << 24;
        // Ensure probabilities sum to 2^30
        prob[5] = (1 << 30) - (prob[0] + prob[1] + prob[2] + prob[3] + prob[4]);

        // To hit all samples requires integers that are under the look-up table limits.
        // So compute the limits here.
        int n1 = 0;
        int n2 = 0;
        int n3 = 0;
        int n4 = 0;
        for (final int m : prob) {
            n1 += getBase64Digit(m, 1);
            n2 += getBase64Digit(m, 2);
            n3 += getBase64Digit(m, 3);
            n4 += getBase64Digit(m, 4);
        }

        final int t1 = n1 << 24;
        final int t2 = t1 + (n2 << 18);
        final int t3 = t2 + (n3 << 12);
        final int t4 = t3 + (n4 << 6);

        // Create values under the limits and bit shift by 2 to reverse what the sampler does.
        final int[] values = new int[] {0, t1, t2, t3, t4, 0xffffffff};
        for (int i = 0; i < values.length; i++) {
            values[i] <<= 2;
        }

        final UniformRandomProvider rng1 = new FixedSequenceIntProvider(values);
        final UniformRandomProvider rng2 = new FixedSequenceIntProvider(values);
        final UniformRandomProvider rng3 = new FixedSequenceIntProvider(values);

        // Create offsets to force storage as 8, 16, or 32-bit
        final int offset1 = 1;
        final int offset2 = 1 << 8;
        final int offset3 = 1 << 16;

        final double[] p1 = createProbabilities(offset1, prob);
        final double[] p2 = createProbabilities(offset2, prob);
        final double[] p3 = createProbabilities(offset3, prob);

        final SharedStateDiscreteSampler sampler1 = MarsagliaTsangWangDiscreteSampler.Enumerated.of(rng1, p1);
        final SharedStateDiscreteSampler sampler2 = MarsagliaTsangWangDiscreteSampler.Enumerated.of(rng2, p2);
        final SharedStateDiscreteSampler sampler3 = MarsagliaTsangWangDiscreteSampler.Enumerated.of(rng3, p3);

        for (int i = 0; i < values.length; i++) {
            // Remove offsets
            final int s1 = sampler1.sample() - offset1;
            final int s2 = sampler2.sample() - offset2;
            final int s3 = sampler3.sample() - offset3;
            Assert.assertEquals(""Offset sample 1 and 2 do not match"", s1, s2);
            Assert.assertEquals(""Offset Sample 1 and 3 do not match"", s1, s3);
        }
    }",1
(double temperatureInCelsius),"public class CelsiusToFahrenheit {
static double celsiusToFahrenheit(double temperatureInCelsius) {
        return (temperatureInCelsius * 1.8) + 32;
    }
}","@Test
    public void celsiusToFahrenheit() throws Exception {
        double result = WeatherUtils.celsiusToFahrenheit(10);
        assertEquals(50, result, 0);
    }",1
(int argCount),"public class GenerateMessagePattern {
static String generateMessagePattern(int argCount) {
        int estimatedSize = 17 + Math.max(0, (argCount * 4) - 2);
        StringBuilder message = new StringBuilder(estimatedSize);
        message.append(""{}.{}("");
        for (int i = 0; i < argCount; i++) {
            if (i > 0) {
                message.append("", "");
            }
            message.append(""{}"");
        }
        message.append("") took {}ms"");
        return message.toString();
    }
}","@Test
    public void testGenerateMessagePattern() {
        assertThat(LoggingInvocationEventHandler.generateMessagePattern(0)).isEqualTo(""{}.{}() took {}ms"");
        assertThat(LoggingInvocationEventHandler.generateMessagePattern(1)).isEqualTo(""{}.{}({}) took {}ms"");
        assertThat(LoggingInvocationEventHandler.generateMessagePattern(2)).isEqualTo(""{}.{}({}, {}) took {}ms"");
        assertThat(LoggingInvocationEventHandler.generateMessagePattern(3)).isEqualTo(""{}.{}({}, {}, {}) took {}ms"");
    }",3
(int x),"public class NextPow2Int {
public static int nextPow2Int(int x) {
        --x;
        x |= x >>> 1;
        x |= x >>> 2;
        x |= x >>> 4;
        x |= x >>> 8;
        x |= x >>> 16;
        return ++x;
    }
}","@Test
    public void testNextPow2Int() {
        assertEquals(2, MathUtil.nextPow2Int(2));
        assertEquals(4, MathUtil.nextPow2Int(3));
        assertEquals(8, MathUtil.nextPow2Int(5));
    }",1
(int n),"public class TriangleSize {
public int triangleSize(int n) {
        return ((n - 1) * n) >>> 1;
    }
}","@Test
    public void testTriangleSize() {
        assertEquals(3, subject.triangleSize(3));
        assertEquals(6, subject.triangleSize(4));
    }",1
(int n),"public class CombinationOfTwo {
protected long combinationOfTwo(int n) {
        // a micooptimization, instead of computing factorial, in case of k=2
        // this is much faster
        return n * (n - 1) >>> 1; //equal to division by 2
    }
}","@Test
    public void testCombinationOfTwo() {
        int n = 5;
        AdjustedRand ari = (AdjustedRand) subject;
        assertEquals(CombinatoricsUtils.binomialCoefficient(n, 2), ari.combinationOfTwo(n));
        n = 15;
        assertEquals(CombinatoricsUtils.binomialCoefficient(n, 2), ari.combinationOfTwo(n));
    }",1
"(double minValue, double maxValue)","public class CountMedian {
protected double countMedian(double minValue, double maxValue) {
        //in case of negative min, we add it again
        //@test [10-(-5)] /2 + (-5) = 7.5 - 5 = 2.5
        //@test 10 - 0 = 5 + 0 = 5
        //@test 1 - (-1) = 1-1 = 0
        return (maxValue - minValue) / 2 + minValue;
    }
}","@Test
    public void testCountMedian() {
        ColorScheme cs = new ColorScheme();
        assertEquals(0.0, cs.countMedian(-10, 10), delta);

    }",1
(double radius),"public class CalculateSurface {
public static double calculateSurface(double radius) {
        return 4.0*Math.PI*radius*radius;
    }
}","@Test
    @DisplayName(""sphere surface calculation - arbitrary"")
    void calculateSurface() {
        assertEquals(Spheres.calculateSurface(3), 4.0*Math.PI*3.0*3.0);
    }",1
(double radius),"public class Circumference {
public static double circumference(double radius) {
        return 2.0 * radius * Math.PI;
    }
}","@Test
    @DisplayName(""circle calculations - circumference"")
    void circumference() {
        double circumference = Circles.circumference(circle.getRadius());
        assertEquals(4 * Math.PI, circumference, 1e-12);
    }",1
(double radius),"public class Area {
public static double area(double radius) {
        return radius * radius * Math.PI;
    }
}","@Test
    @DisplayName(""circle calculations - area"")
    void area() {
        double area = Circles.area(circle.getRadius());
        assertEquals(4 * Math.PI, area, 1e-12);
    }",1
"(int op1, int op2)","public class Add {
public int add(int op1, int op2) {
        return op1 + op2;
    }
}","@Test
    public void testAdd() {
        calculator = new Calculator();
        int total = calculator.add(4, 5);
        assertEquals(""Calculator is not adding correctly"", 9, total);
    }",1
"(int op1, int op2)","public class Diff {
public int diff(int op1, int op2) {
        return op1 - op2;
    }
}","@Test
    public void testDiff() {
        calculator = new Calculator();
        int total = calculator.diff(9, 2);
        assertEquals(""Calculator is not subtracting correctly"", 7, total);
    }",1
( long nanosecondCount ),"public class GetTimeIncrementFromDivision {
public static String getTimeIncrementFromDivision( long nanosecondCount ) {
        String timeUnit = ""second increment"";
        if ( nanosecondCount >= 24l * 60l * 60l * 1000l * 1000l * 1000l ) {
            timeUnit = nanosecondCount / ( 24l * 60l * 60l * 1000l * 1000l * 1000l ) + "" day increment"";
        } else if ( nanosecondCount >= 60l * 60l * 1000l * 1000l * 1000l ) {
            timeUnit = nanosecondCount / ( 60l * 60l * 1000l * 1000l * 1000l ) + "" hour increment"";
        } else if ( nanosecondCount >= 60l * 1000l * 1000l * 1000l ) {
            timeUnit = nanosecondCount / ( 60l * 1000l * 1000l * 1000l ) + "" minute increment"";
        } else if ( nanosecondCount >= 1000l * 1000l * 1000l ) {
            timeUnit = nanosecondCount / ( 1000l * 1000l * 1000l ) + "" second increment"";
        } else if ( nanosecondCount >= 1000l * 1000l ) {
            timeUnit = nanosecondCount / ( 1000l * 1000l ) + "" millisecond increment"";
        } else if ( nanosecondCount >= 1000l ) {
            timeUnit = nanosecondCount / 1000l + "" microsecond increment"";
        } else {
            timeUnit = nanosecondCount + "" nanosecond increment"";
        }
        return timeUnit;
    }
}","@Test
    public void getTimeIncrementFromDivision() {
        assertEquals( ""3 nanosecond increment"", AnalyzeMetricFile.getTimeIncrementFromDivision( 3 ) );
        assertEquals( ""3 microsecond increment"", AnalyzeMetricFile.getTimeIncrementFromDivision( 3000 ) );
        assertEquals( ""3 millisecond increment"", AnalyzeMetricFile.getTimeIncrementFromDivision( 3000000 ) );
        assertEquals( ""3 second increment"", AnalyzeMetricFile.getTimeIncrementFromDivision( 3000000000l ) );
        assertEquals( ""3 second increment"", AnalyzeMetricFile.getTimeIncrementFromDivision( 3000000000l ) );
        assertEquals( ""3 minute increment"", AnalyzeMetricFile.getTimeIncrementFromDivision( 180000000000l ) );
        assertEquals( ""3 hour increment"", AnalyzeMetricFile.getTimeIncrementFromDivision( 10800000000000l ) );
        assertEquals( ""3 day increment"", AnalyzeMetricFile.getTimeIncrementFromDivision( 259200000000000l ) );
    }",7
"(int sequence, int decrement)","public class DecrementSequence {
public static int decrementSequence(int sequence, int decrement) {
        if (sequence < decrement)
            return Integer.MAX_VALUE - (decrement - sequence) + 1;
        return sequence - decrement;
    }
}","@Test
    public void testDecrementSequence() {
        assertEquals(0, DefaultRecordBatch.decrementSequence(5, 5));
        assertEquals(Integer.MAX_VALUE, DefaultRecordBatch.decrementSequence(0, 1));
    }",2
"(int sequence, int increment)","public class IncrementSequence {
public static int incrementSequence(int sequence, int increment) {
        if (sequence > Integer.MAX_VALUE - increment)
            return increment - (Integer.MAX_VALUE - sequence) - 1;
        return sequence + increment;
    }
}","@Test
    public void testIncrementSequence() {
        assertEquals(10, DefaultRecordBatch.incrementSequence(5, 5));
        assertEquals(0, DefaultRecordBatch.incrementSequence(Integer.MAX_VALUE, 1));
        assertEquals(4, DefaultRecordBatch.incrementSequence(Integer.MAX_VALUE - 5, 10));
    }",2
(int N),"public class SumOfSequence {
public int sumOfSequence(int N)
	{
		return N*(N+1)/2;
	}
}","@Test
	public void testSumOfSequence()
	{
		// Exercise
		int result = calc.sumOfSequence(5);
		
		// Verify
		Assert.assertEquals(1+2+3+4+5, result);
	}",1
(int N),"public class SumOfSequence {
public int sumOfSequence(int N)
	{
		int result = 0;
		for(int i=1; i<=N; i++)
			result += i;
		return result;
	}
}","@Test
	public void testSumOfSequence()
	{
		// Exercise
		int result = calc.sumOfSequence(5);
		
		// Verify
		Assert.assertEquals(1+2+3+4+5, result);
	}",2
